CUSTOMER_ID,CUSTOMER_SEGMENT,JOIN_DATE,LIFETIME_VALUE,PREVIOUS_PURCHASES,AGE_RANGE,GENDER,PREFERRED_CATEGORY
CUST-00067,Mainstream,2023-06-23,864.62,13,45-54,Female,Clothing
CUST-00068,Mainstream,2023-04-21,493.29,14,18-24,Prefer not to say,Clothing
CUST-00069,Mainstream,2023-01-15,1512.70,12,55-64,Male,Clothing
CUST-00070,Budget,2022-12-30,214.97,18,35-44,Male,Toys
CUST-00071,Mainstream,2023-08-25,412.05,2,45-54,Female,Clothing
CUST-00072,Premium,2022-03-15,4287.70,4,45-54,Non-binary,Electronics
CUST-00073,Mainstream,2023-05-15,1393.14,9,18-24,Male,Beauty Products
CUST-00074,Mainstream,2022-12-08,1507.48,14,45-54,Non-binary,Electronics
CUST-00075,Premium,2022-09-27,2393.52,3,65+,Male,Kitchen Appliances
CUST-00076,Mainstream,2022-06-24,1623.98,20,55-64,Female,Beauty Products
CUST-00077,Mainstream,2022-02-11,1519.14,9,55-64,Male,Toys
CUST-00078,Mainstream,2023-09-13,359.53,16,25-34,Prefer not to say,Beauty Products
CUST-00079,Budget,2022-10-08,478.56,5,45-54,Male,Clothing
CUST-00080,Mainstream,2022-08-30,855.70,14,18-24,Female,Electronics
CUST-00081,Mainstream,2022-09-09,1091.76,14,18-24,Female,Beauty Products
CUST-00082,Mainstream,2023-02-25,1157.59,12,18-24,Male,Clothing
CUST-00083,Mainstream,2022-03-19,1533.24,11,45-54,Male,Toys
CUST-00084,Mainstream,2022-06-14,561.59,3,45-54,Non-binary,Electronics
CUST-00085,Premium,2023-01-29,2406.27,15,18-24,Non-binary,Electronics
CUST-00086,Mainstream,2023-11-07,151.39,13,55-64,Male,Clothing
CUST-00087,Luxury,2023-12-22,365.72,12,18-24,Prefer not to say,Clothing
CUST-00088,Budget,2022-08-31,95.73,14,55-64,Female,Toys
CUST-00089,Mainstream,2023-03-14,1140.76,16,65+,Prefer not to say,Beauty Products
CUST-00090,Mainstream,2023-02-15,1382.47,11,35-44,Male,Kitchen Appliances
CUST-00091,Budget,2022-12-19,348.44,6,25-34,Female,Clothing
CUST-00092,Mainstream,2022-07-10,1053.79,7,55-64,Female,Toys
CUST-00093,Budget,2023-03-23,414.28,11,65+,Female,Beauty Products
CUST-00094,Mainstream,2023-01-26,1304.85,7,25-34,Male,Toys
CUST-00095,Premium,2022-11-16,2436.54,16,55-64,Female,Beauty Products
CUST-00096,Mainstream,2023-01-12,1626.34,10,45-54,Prefer not to say,Beauty Products
CUST-00097,Budget,2023-12-06,18.23,4,35-44,Non-binary,Kitchen Appliances
CUST-00098,Mainstream,2023-08-07,713.89,16,55-64,Non-binary,Clothing
CUST-00099,Luxury,2022-06-11,6877.34,4,35-44,Non-binary,Beauty Products
CUST-00100,Mainstream,2023-09-21,327.91,12,45-54,Female,Clothing
CUST-00101,Mainstream,2023-12-24,11.59,17,45-54,Female,Clothing
CUST-00102,Mainstream,2022-03-15,1804.88,4,25-34,Non-binary,Toys
CUST-00103,Mainstream,2022-03-06,796.33,15,18-24,Non-binary,Electronics
CUST-00104,Mainstream,2023-08-24,578.51,20,35-44,Female,Toys
CUST-00105,Budget,2023-10-23,66.28,16,45-54,Male,Beauty Products
CUST-00106,Premium,2023-12-04,161.04,1,55-64,Non-binary,Toys
CUST-00107,Mainstream,2022-06-08,2319.26,12,35-44,Female,Kitchen Appliances
CUST-00108,Luxury,2023-09-29,1231.19,4,25-34,Non-binary,Electronics
CUST-00109,Premium,2022-09-08,4213.87,17,55-64,Female,Beauty Products
CUST-00110,Budget,2023-09-21,93.14,4,35-44,Prefer not to say,Clothing
CUST-00111,Budget,2022-05-24,317.32,6,55-64,Male,Kitchen Appliances
CUST-00112,Premium,2022-07-19,3341.64,7,18-24,Male,Electronics
CUST-00113,Mainstream,2023-11-21,195.69,15,65+,Non-binary,Kitchen Appliances
CUST-00114,Luxury,2023-02-03,12475.22,18,18-24,Non-binary,Toys
CUST-00115,Luxury,2023-05-13,11113.90,2,35-44,Female,Kitchen Appliances
CUST-00116,Mainstream,2022-07-30,1354.44,3,55-64,Prefer not to say,Clothing
CUST-00117,Luxury,2023-06-13,4804.94,14,65+,Male,Beauty Products
CUST-00118,Luxury,2022-03-23,11874.90,7,25-34,Non-binary,Clothing
CUST-00119,Mainstream,2023-01-02,653.28,16,45-54,Male,Toys
CUST-00120,Luxury,2023-08-22,5047.38,17,18-24,Prefer not to say,Electronics
CUST-00121,Budget,2022-02-10,244.52,15,55-64,Prefer not to say,Toys
CUST-00122,Budget,2022-02-13,450.60,16,18-24,Non-binary,Toys
CUST-00123,Mainstream,2022-02-22,619.98,9,35-44,Male,Toys
CUST-00124,Mainstream,2023-09-04,527.77,1,45-54,Non-binary,Clothing
CUST-00125,Premium,2022-06-23,2919.09,13,35-44,Male,Kitchen Appliances
CUST-00126,Budget,2023-12-26,3.38,3,55-64,Female,Beauty Products
CUST-00127,Premium,2023-04-29,3242.67,15,25-34,Male,Beauty Products
CUST-00128,Mainstream,2023-08-08,343.72,19,45-54,Male,Electronics
CUST-00129,Mainstream,2022-01-23,674.96,15,55-64,Prefer not to say,Toys
CUST-00130,Mainstream,2023-04-19,434.03,17,25-34,Prefer not to say,Beauty Products
CUST-00131,Mainstream,2023-06-12,348.93,8,65+,Male,Electronics
CUST-00132,Premium,2022-04-09,2540.43,2,55-64,Prefer not to say,Electronics
CUST-00133,Premium,2023-06-04,1275.38,1,25-34,Female,Beauty Products
CUST-00134,Premium,2023-08-04,1729.60,2,45-54,Male,Kitchen Appliances
CUST-00135,Premium,2022-01-24,5060.62,8,45-54,Non-binary,Electronics
CUST-00136,Mainstream,2022-09-13,511.64,18,45-54,Non-binary,Beauty Products
CUST-00137,Luxury,2022-11-03,10399.82,6,35-44,Male,Clothing
CUST-00138,Mainstream,2022-10-08,1233.13,19,35-44,Female,Clothing
CUST-00139,Mainstream,2023-12-03,153.03,17,65+,Female,Kitchen Appliances
CUST-00140,Mainstream,2022-09-04,500.06,4,25-34,Prefer not to say,Clothing
CUST-00141,Mainstream,2022-02-20,1084.22,8,45-54,Female,Kitchen Appliances
CUST-00142,Mainstream,2023-09-18,372.18,6,45-54,Prefer not to say,Electronics
CUST-00143,Mainstream,2023-06-06,749.74,11,25-34,Prefer not to say,Toys
CUST-00144,Budget,2022-02-17,226.01,12,45-54,Prefer not to say,Toys
CUST-00145,Premium,2023-12-07,150.43,1,55-64,Female,Electronics
CUST-00146,Mainstream,2023-07-04,285.98,11,55-64,Female,Toys
CUST-00147,Luxury,2022-11-13,7802.54,5,18-24,Male,Kitchen Appliances
CUST-00148,Luxury,2023-02-25,4346.75,1,55-64,Non-binary,Clothing
CUST-00149,Mainstream,2023-10-28,404.68,3,18-24,Prefer not to say,Toys
CUST-00150,Premium,2022-09-28,3346.19,6,45-54,Female,Clothing
CUST-00151,Luxury,2023-12-12,681.29,11,35-44,Male,Toys
CUST-00152,Budget,2022-07-10,549.04,17,65+,Female,Electronics
CUST-00153,Mainstream,2023-09-24,313.80,14,55-64,Non-binary,Electronics
CUST-00154,Premium,2022-03-29,3679.44,8,45-54,Non-binary,Beauty Products
CUST-00155,Luxury,2023-08-08,3393.07,8,65+,Male,Clothing
CUST-00156,Mainstream,2023-02-25,771.12,3,25-34,Prefer not to say,Electronics
CUST-00157,Mainstream,2022-04-08,1014.60,12,18-24,Male,Kitchen Appliances
CUST-00158,Budget,2023-08-28,68.41,11,65+,Female,Beauty Products
CUST-00159,Budget,2022-12-11,136.76,2,18-24,Non-binary,Electronics
CUST-00160,Mainstream,2022-04-10,1942.60,3,25-34,Female,Toys
CUST-00161,Budget,2023-12-07,9.84,19,65+,Non-binary,Electronics
CUST-00162,Premium,2022-12-30,3211.05,10,65+,Prefer not to say,Kitchen Appliances
CUST-00163,Premium,2023-11-09,323.51,19,45-54,Male,Electronics
CUST-00164,Mainstream,2023-09-09,635.34,17,35-44,Prefer not to say,Beauty Products
CUST-00165,Premium,2022-11-19,3221.93,9,18-24,Non-binary,Electronics
CUST-00166,Mainstream,2023-11-07,229.54,16,25-34,Non-binary,Electronics
CUST-00167,Mainstream,2022-05-02,972.13,18,55-64,Male,Kitchen Appliances
CUST-00168,Mainstream,2023-10-09,207.19,2,65+,Female,Kitchen Appliances
CUST-00169,Luxury,2022-12-09,4633.89,13,35-44,Non-binary,Clothing
CUST-00170,Mainstream,2022-01-12,2052.60,16,65+,Female,Electronics
CUST-00171,Premium,2023-08-07,1908.22,10,35-44,Non-binary,Electronics
CUST-00172,Mainstream,2022-04-01,1491.82,16,18-24,Non-binary,Clothing
CUST-00173,Premium,2022-09-05,2579.43,11,65+,Female,Toys
CUST-00174,Premium,2022-08-11,2676.55,16,25-34,Male,Beauty Products
CUST-00175,Premium,2022-07-16,4496.15,5,55-64,Male,Clothing
CUST-00176,Premium,2022-12-27,4918.37,14,45-54,Prefer not to say,Beauty Products
CUST-00177,Mainstream,2023-03-30,1471.72,15,25-34,Non-binary,Beauty Products
CUST-00178,Luxury,2023-10-24,1501.16,19,25-34,Non-binary,Kitchen Appliances
CUST-00179,Premium,2023-11-21,466.35,10,25-34,Non-binary,Kitchen Appliances
CUST-00180,Mainstream,2023-06-25,701.05,14,65+,Prefer not to say,Toys
CUST-00181,Budget,2022-08-02,226.62,5,35-44,Female,Toys
CUST-00182,Premium,2023-04-03,2697.48,12,35-44,Non-binary,Beauty Products
CUST-00183,Budget,2023-11-02,60.52,10,65+,Non-binary,Beauty Products
CUST-00184,Mainstream,2023-10-26,295.62,2,25-34,Prefer not to say,Beauty Products
CUST-00185,Mainstream,2022-10-14,1941.23,16,65+,Prefer not to say,Toys
CUST-00186,Mainstream,2023-03-03,1623.18,8,65+,Prefer not to say,Kitchen Appliances
CUST-00187,Mainstream,2023-05-01,1232.75,9,65+,Male,Beauty Products
CUST-00188,Mainstream,2023-01-02,1419.31,11,25-34,Female,Clothing
CUST-00189,Budget,2023-04-13,162.21,8,45-54,Male,Clothing
CUST-00190,Mainstream,2022-12-02,1702.68,13,18-24,Female,Beauty Products
CUST-00191,Budget,2023-10-29,24.08,9,35-44,Prefer not to say,Beauty Products
CUST-00192,Premium,2023-05-09,2604.69,14,45-54,Non-binary,Kitchen Appliances
CUST-00193,Mainstream,2023-08-12,461.88,14,65+,Prefer not to say,Beauty Products
CUST-00194,Mainstream,2022-04-30,803.81,9,35-44,Prefer not to say,Electronics
CUST-00195,Premium,2023-06-25,1943.55,13,35-44,Prefer not to say,Clothing
CUST-00196,Luxury,2023-12-30,27.24,11,25-34,Female,Electronics
CUST-00197,Luxury,2023-08-17,3700.67,10,25-34,Male,Toys
CUST-00198,Mainstream,2023-07-07,355.48,11,25-34,Male,Electronics
CUST-00199,Mainstream,2022-09-16,1638.89,12,18-24,Female,Clothing
CUST-00200,Mainstream,2023-08-20,471.81,20,25-34,Male,Beauty Products
CUST-00201,Luxury,2022-02-07,12848.60,1,35-44,Non-binary,Beauty Products
CUST-00202,Budget,2023-05-03,191.06,3,45-54,Prefer not to say,Clothing
CUST-00203,Luxury,2023-06-01,5946.25,11,55-64,Non-binary,Toys
CUST-00204,Mainstream,2023-07-12,1054.86,3,45-54,Non-binary,Toys
CUST-00205,Premium,2022-01-05,3942.71,14,45-54,Female,Toys
CUST-00206,Mainstream,2022-04-16,1059.06,13,35-44,Non-binary,Kitchen Appliances
CUST-00207,Budget,2022-11-28,276.33,6,65+,Female,Electronics
CUST-00208,Mainstream,2022-09-15,1315.51,3,65+,Female,Electronics
CUST-00209,Mainstream,2023-12-15,41.90,6,55-64,Non-binary,Toys
CUST-00210,Budget,2023-06-30,196.33,13,18-24,Female,Clothing
CUST-00211,Budget,2023-03-17,186.66,13,55-64,Female,Electronics
CUST-00212,Mainstream,2023-08-19,661.62,18,45-54,Male,Clothing
CUST-00213,Mainstream,2022-03-05,894.45,10,45-54,Male,Beauty Products
CUST-00214,Premium,2022-11-08,2635.84,11,55-64,Male,Beauty Products
CUST-00215,Mainstream,2023-07-12,930.78,2,55-64,Prefer not to say,Beauty Products
CUST-00216,Mainstream,2023-06-04,939.41,10,35-44,Female,Clothing
CUST-00217,Mainstream,2022-01-22,1440.46,12,45-54,Male,Kitchen Appliances
CUST-00218,Mainstream,2023-08-13,394.86,2,35-44,Prefer not to say,Electronics
CUST-00219,Mainstream,2023-02-28,1372.31,14,45-54,Non-binary,Toys
CUST-00220,Mainstream,2022-10-12,712.72,5,35-44,Prefer not to say,Beauty Products
CUST-00221,Premium,2023-03-30,3151.78,1,65+,Non-binary,Beauty Products
CUST-00222,Mainstream,2022-11-24,1540.89,20,35-44,Female,Toys
CUST-00223,Premium,2022-04-10,3096.44,5,25-34,Female,Kitchen Appliances
CUST-00224,Mainstream,2023-12-15,49.16,4,25-34,Male,Toys
CUST-00225,Mainstream,2022-02-06,627.23,1,45-54,Female,Clothing
CUST-00226,Budget,2023-09-09,80.43,18,35-44,Female,Toys
CUST-00227,Mainstream,2022-11-22,1801.76,10,35-44,Prefer not to say,Clothing
CUST-00228,Budget,2022-04-03,141.84,4,25-34,Prefer not to say,Beauty Products
CUST-00229,Mainstream,2022-10-22,868.46,19,45-54,Non-binary,Toys
CUST-00230,Premium,2022-08-08,3284.91,7,18-24,Male,Toys
CUST-00231,Budget,2022-03-22,540.07,10,45-54,Female,Kitchen Appliances
CUST-00232,Premium,2022-10-15,3171.31,5,18-24,Female,Clothing
CUST-00233,Mainstream,2023-07-10,333.09,9,18-24,Female,Kitchen Appliances
CUST-00234,Budget,2023-07-31,89.48,7,55-64,Female,Beauty Products
CUST-00235,Budget,2022-07-29,270.03,5,65+,Prefer not to say,Toys
CUST-00236,Premium,2022-02-11,3221.48,14,65+,Female,Kitchen Appliances
CUST-00237,Mainstream,2022-07-04,1124.81,11,18-24,Male,Beauty Products
CUST-00238,Luxury,2023-08-14,2828.21,11,25-34,Male,Electronics
CUST-00239,Luxury,2023-09-26,3999.91,9,25-34,Non-binary,Kitchen Appliances
CUST-00240,Premium,2023-02-01,1848.04,5,18-24,Prefer not to say,Electronics
CUST-00241,Mainstream,2022-10-23,1123.75,11,18-24,Non-binary,Electronics
CUST-00242,Budget,2023-10-29,18.19,7,45-54,Non-binary,Beauty Products
CUST-00243,Mainstream,2022-03-17,1416.55,20,18-24,Female,Toys
CUST-00244,Budget,2023-02-21,145.80,7,55-64,Male,Beauty Products
CUST-00245,Budget,2023-05-30,146.74,15,18-24,Female,Kitchen Appliances
CUST-00246,Premium,2023-10-03,1077.72,7,45-54,Prefer not to say,Beauty Products
CUST-00247,Premium,2023-06-09,1780.86,7,18-24,Male,Toys
CUST-00248,Budget,2023-06-09,246.59,4,25-34,Female,Kitchen Appliances
CUST-00249,Premium,2023-10-28,519.40,6,35-44,Male,Kitchen Appliances
CUST-00250,Budget,2023-06-05,68.51,7,55-64,Female,Kitchen Appliances
CUST-00251,Mainstream,2023-01-06,610.92,17,65+,Prefer not to say,Clothing
CUST-00252,Mainstream,2022-11-08,645.15,5,25-34,Prefer not to say,Beauty Products
CUST-00253,Budget,2022-06-23,286.18,7,45-54,Prefer not to say,Toys
CUST-00254,Budget,2023-03-13,234.80,1,45-54,Male,Beauty Products
CUST-00255,Budget,2022-04-30,263.99,14,65+,Prefer not to say,Toys
CUST-00256,Mainstream,2022-06-21,1695.05,16,55-64,Male,Toys
CUST-00257,Premium,2023-07-04,1163.11,16,35-44,Female,Beauty Products
CUST-00258,Premium,2022-04-02,4477.77,2,25-34,Prefer not to say,Electronics
CUST-00259,Luxury,2022-08-18,16661.53,4,45-54,Female,Clothing
CUST-00260,Mainstream,2023-05-21,397.59,1,25-34,Prefer not to say,Toys
CUST-00261,Luxury,2023-09-06,3726.39,11,65+,Female,Electronics
CUST-00262,Budget,2023-02-01,269.92,20,25-34,Prefer not to say,Beauty Products
CUST-00263,Luxury,2023-01-16,11959.43,5,65+,Male,Toys
CUST-00264,Budget,2022-08-27,387.79,16,65+,Non-binary,Clothing
CUST-00265,Premium,2022-07-13,3404.54,12,18-24,Male,Electronics
CUST-00266,Premium,2022-11-28,2192.16,8,55-64,Prefer not to say,Clothing
CUST-00267,Luxury,2023-03-23,8154.09,19,25-34,Prefer not to say,Toys
CUST-00268,Mainstream,2022-07-07,1459.63,16,45-54,Female,Clothing
CUST-00269,Premium,2023-04-13,3421.57,16,55-64,Non-binary,Beauty Products
CUST-00270,Budget,2023-08-22,143.37,10,25-34,Prefer not to say,Electronics
CUST-00271,Mainstream,2023-11-28,135.96,2,55-64,Female,Kitchen Appliances
CUST-00272,Luxury,2023-09-15,3247.22,7,65+,Male,Kitchen Appliances
CUST-00273,Mainstream,2022-11-22,1390.88,3,45-54,Male,Electronics
CUST-00274,Mainstream,2022-01-17,2014.50,2,35-44,Male,Beauty Products
CUST-00275,Budget,2023-07-28,132.36,9,55-64,Prefer not to say,Toys
CUST-00276,Luxury,2023-08-19,2172.73,16,35-44,Female,Kitchen Appliances
CUST-00277,Budget,2022-07-16,84.85,12,55-64,Male,Clothing
CUST-00278,Mainstream,2023-10-08,322.68,4,25-34,Female,Kitchen Appliances
CUST-00279,Mainstream,2023-06-01,428.01,9,65+,Male,Beauty Products
CUST-00280,Premium,2022-09-23,3870.70,19,35-44,Female,Beauty Products
CUST-00281,Mainstream,2022-03-15,1906.36,20,35-44,Prefer not to say,Toys
CUST-00282,Mainstream,2022-03-27,854.98,13,18-24,Female,Kitchen Appliances
CUST-00283,Budget,2023-03-30,128.62,10,55-64,Male,Toys
CUST-00284,Mainstream,2022-12-13,559.56,4,65+,Female,Kitchen Appliances
CUST-00285,Premium,2022-07-31,5607.40,15,18-24,Female,Clothing
CUST-00286,Premium,2023-11-25,289.21,14,45-54,Prefer not to say,Toys
CUST-00287,Mainstream,2023-09-19,449.18,15,45-54,Female,Electronics
CUST-00288,Luxury,2022-03-10,9436.45,10,35-44,Female,Beauty Products
CUST-00289,Mainstream,2023-09-16,360.29,10,35-44,Female,Beauty Products
CUST-00290,Budget,2022-12-31,569.89,18,18-24,Female,Kitchen Appliances
CUST-00291,Mainstream,2023-06-09,712.97,16,25-34,Female,Electronics
CUST-00292,Premium,2022-11-10,3564.97,11,35-44,Non-binary,Clothing
CUST-00293,Budget,2022-09-06,337.84,8,35-44,Prefer not to say,Kitchen Appliances
CUST-00294,Mainstream,2022-12-08,1040.92,16,18-24,Male,Toys
CUST-00295,Mainstream,2022-12-05,834.65,7,45-54,Female,Kitchen Appliances
CUST-00296,Luxury,2022-08-24,16252.51,15,55-64,Non-binary,Kitchen Appliances
CUST-00297,Mainstream,2023-10-04,392.48,13,65+,Male,Beauty Products
CUST-00298,Premium,2022-02-08,4171.87,6,55-64,Non-binary,Electronics
CUST-00299,Mainstream,2023-07-16,493.69,19,45-54,Male,Clothing
CUST-00300,Luxury,2023-01-19,5757.98,10,18-24,Female,Electronics
CUST-00301,Mainstream,2022-10-07,1436.00,16,18-24,Female,Electronics
CUST-00302,Premium,2023-02-05,3869.29,1,45-54,Prefer not to say,Toys
CUST-00303,Mainstream,2023-09-02,260.68,20,65+,Male,Electronics
CUST-00304,Premium,2022-11-27,1883.41,18,55-64,Male,Clothing
CUST-00305,Mainstream,2022-09-17,610.71,16,25-34,Prefer not to say,Kitchen Appliances
CUST-00306,Premium,2023-01-14,4859.72,20,65+,Prefer not to say,Clothing
CUST-00307,Premium,2023-07-04,2379.11,20,45-54,Prefer not to say,Kitchen Appliances
CUST-00308,Mainstream,2022-10-25,1895.65,2,45-54,Male,Clothing
CUST-00309,Premium,2022-11-21,3982.70,11,25-34,Prefer not to say,Toys
CUST-00310,Mainstream,2022-02-06,1462.63,11,18-24,Male,Beauty Products
CUST-00311,Budget,2022-08-12,435.51,11,45-54,Non-binary,Electronics
CUST-00312,Mainstream,2022-02-10,1474.81,10,55-64,Female,Electronics
CUST-00313,Premium,2023-03-08,2487.73,14,25-34,Female,Clothing
CUST-00314,Premium,2023-05-18,3627.11,4,45-54,Prefer not to say,Clothing
CUST-00315,Mainstream,2023-09-11,221.04,12,65+,Male,Clothing
CUST-00316,Premium,2022-06-15,3524.34,4,25-34,Female,Clothing
CUST-00317,Mainstream,2022-07-24,830.19,17,65+,Non-binary,Clothing
CUST-00318,Mainstream,2022-02-17,874.12,14,65+,Male,Beauty Products
CUST-00319,Mainstream,2023-09-09,325.57,5,18-24,Female,Clothing
CUST-00320,Mainstream,2023-03-29,1265.26,13,35-44,Prefer not to say,Toys
CUST-00321,Mainstream,2022-09-12,1538.93,3,35-44,Non-binary,Beauty Products
CUST-00322,Mainstream,2022-12-05,1180.61,18,45-54,Female,Electronics
CUST-00323,Mainstream,2023-04-22,845.35,16,55-64,Prefer not to say,Beauty Products
CUST-00324,Mainstream,2022-08-19,1581.60,20,35-44,Non-binary,Beauty Products
CUST-00325,Luxury,2022-11-04,10964.94,10,55-64,Prefer not to say,Toys
CUST-00326,Mainstream,2022-04-11,992.05,7,45-54,Female,Beauty Products
CUST-00327,Mainstream,2022-10-18,2074.52,6,35-44,Male,Electronics
CUST-00328,Mainstream,2023-11-19,124.25,17,65+,Female,Kitchen Appliances
CUST-00329,Budget,2022-07-11,208.11,2,25-34,Non-binary,Clothing
CUST-00330,Premium,2023-09-07,790.43,20,35-44,Female,Beauty Products
CUST-00331,Mainstream,2023-10-23,137.27,6,65+,Male,Toys
CUST-00332,Luxury,2022-07-23,5842.67,16,65+,Male,Toys
CUST-00333,Premium,2023-04-24,1848.80,20,55-64,Prefer not to say,Toys
CUST-00334,Budget,2022-03-05,389.17,1,25-34,Non-binary,Kitchen Appliances
CUST-00335,Luxury,2022-01-08,13529.66,1,18-24,Female,Toys
CUST-00336,Premium,2022-08-26,2273.05,16,45-54,Prefer not to say,Toys
CUST-00337,Premium,2022-02-04,2654.22,20,25-34,Prefer not to say,Clothing
CUST-00338,Budget,2022-07-28,209.50,13,25-34,Female,Beauty Products
CUST-00339,Mainstream,2023-09-25,351.83,4,25-34,Prefer not to say,Toys
CUST-00340,Premium,2023-06-26,2887.22,10,35-44,Female,Toys
CUST-00341,Budget,2022-11-09,139.65,2,45-54,Male,Kitchen Appliances
CUST-00342,Budget,2023-01-06,360.36,13,45-54,Female,Electronics
